entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry,holding_days
2024-07-19,2024-07-19,000007,5.37,5.17,-3.65,-3.85,56.96449466024029,"{'trend': 2.1183641300768468, 'momentum': 1.9404942056173726, 'quality': -0.2875662584064528, 'sentiment': -0.39559674277529766, 'valuation': -0.4819364064429147, 'liquidity': 0.10530629739286901, 'size': 0.41134313691168173}",T+1平仓,其他,1
2024-07-23,2024-07-23,000007,5.35,5.21,-2.55,-2.75,61.283446434188946,"{'trend': 1.9160627824777205, 'momentum': 1.8249887454533238, 'quality': -0.3127320991491707, 'sentiment': 1.0645614278510305, 'valuation': 0.03580700643037019, 'liquidity': 0.6147815988983574, 'size': 0.26021566944542}",T+1平仓,其他,1
2024-07-24,2024-07-24,000021,14.44,14.11,-2.24,-2.44,55.041447019193875,"{'trend': -0.1690021263659124, 'momentum': 0.24339996129410343, 'quality': -0.38711720484378237, 'sentiment': 1.3856919867400233, 'valuation': 0.5873804666233866, 'liquidity': 0.8847730819740687, 'size': 0.14836762827302402}",T+1平仓,其他,1
2024-08-01,2024-08-01,000021,14.62,14.39,-1.57,-1.77,55.26956458037648,"{'trend': -0.22117502021520197, 'momentum': 0.24814200072802436, 'quality': -0.3316714700068559, 'sentiment': 1.323596132550597, 'valuation': 0.7816023837110191, 'liquidity': 0.9281023154536863, 'size': -0.018365996949215285}",T+1平仓,其他,1
2024-08-02,2024-08-02,000025,14.16,14.0,-1.13,-1.33,55.55241667170459,"{'trend': 1.1720373061278502, 'momentum': 1.243065730134261, 'quality': -0.35569035073456245, 'sentiment': -0.1179070875299893, 'valuation': 0.7605686503567765, 'liquidity': -0.6504537395309167, 'size': 0.5939866038888908}",T+1平仓,其他,1
2024-08-08,2024-08-08,000011,8.37,8.45,0.9,0.7,55.68050087759473,"{'trend': 0.9799461826294867, 'momentum': 0.8893365916976468, 'quality': -0.45423113047799696, 'sentiment': 2.354531691639947, 'valuation': -1.1178357179506824, 'liquidity': 0.2933648129592511, 'size': 0.10327958891424432}",T+1平仓,其他,1
2024-08-19,2024-08-19,000019,5.99,5.89,-1.52,-1.72,55.01064717510698,"{'trend': 0.7207200596604938, 'momentum': 0.774922928234733, 'quality': -0.36575684528559566, 'sentiment': 0.3814265399886894, 'valuation': 0.8422666410561855, 'liquidity': -1.181902883123069, 'size': 1.2984645981369516}",T+1平仓,其他,1
2024-08-21,2024-08-21,000020,9.71,10.44,7.61,7.41,58.36388556162251,"{'trend': 1.1525202312030296, 'momentum': 1.0384285919015663, 'quality': -0.35621818581130477, 'sentiment': 2.093211780617486, 'valuation': -0.20307720115815747, 'liquidity': -0.3540503914786727, 'size': 0.6728138799181167}",T+1平仓,其他,1
2024-08-27,2024-08-27,000020,11.68,11.09,-5.0,-5.2,60.004996356767634,"{'trend': 2.0499226793241117, 'momentum': 2.1473687109188186, 'quality': -0.38847994680961817, 'sentiment': 0.2655452674007459, 'valuation': -0.3106784097173774, 'liquidity': 1.784931014519825, 'size': -0.5367221626055987}",止损(-5%),其他,1
2024-09-02,2024-09-02,000020,11.01,10.71,-2.72,-2.92,60.6265120303687,"{'trend': 2.255186610693098, 'momentum': 2.073474720957441, 'quality': -0.3154707095074208, 'sentiment': 0.3525469446106456, 'valuation': -0.33225594059902525, 'liquidity': 1.5521119816174673, 'size': -0.19331163795655326}",T+1平仓,其他,1
